,sa1,sa2,closing_date,list_price,sold_price,prop_type,year_built,sq_ft,bedrooms,bathrooms,sub_div,sub_area,taxes,school_district,garage_spaces,parking_spaces,basement,hoa_fees,financial_terms
0,51870 County Road 129,"Steamboat Springs, CO 80487","Feb 02, 2021","$15,000,000","$15,000,000",Single Family Residential,1993,,3,3,,,"$20,548",,2,2,Full,,Cash
1,16631 Us Highway 40,"Steamboat Springs, CO 80487","Nov 04, 2020","$16,500,000","$14,500,000",Single Family Residential,2006,1098,1,1,,,"$4,033",Hayden RE-1,4,4,Crawl Space,,Cash
2,985 16th Street,"Boulder, CO 80302","Jul 22, 2020","$12,500,000","$12,500,000",Single Family Residential,1962,16888,,,University Place,University Place,,Boulder Valley RE 2,,,Partial,,"Cash, Conventional"
3,33700 Rushing Water Lane,"Steamboat Springs, CO 80487","Oct 29, 2020","$13,750,000","$12,400,000",Single Family Residential,2004,10527,6,11,Steamboat Springs,Steamboat Springs,"$30,454",Steamboat Springs RE-2,7,7,"Full, Finished, Walk-Out Access","$54,504",Cash
4,5000 E Quincy Avenue,"Englewood, CO 80113","Dec 03, 2019","$11,900,000","$11,625,000",Single Family Residential,1993,23866,6,11,Cherry Hills Village,Cherry Hills Village,"$74,433",Cherry Creek 5,10,10,"Exterior Entry, Finished, Interior Entry, Partial, Walk-Out Access",,Cash
5,42855 Gunn Creek Lane,"Steamboat Springs, CO 80487","Mar 01, 2021","$12,750,000","$11,500,000",Single Family Residential,1981,4100,4,4,Steamboat Springs,Steamboat Springs,"$6,902",Steamboat Springs RE-2,2,2,Partial,,Cash
6,25563 Rcr 54,"Steamboat Springs, CO 80487","Nov 05, 2019","$12,900,000","$11,500,000",Single Family Residential,2002,7937,4,7,Steamboat Springs,Steamboat Springs,"$21,390",Steamboat Springs RE-2,4,4,"Crawl Space, None",,Cash
7,33550 Rushing Water Lane,"Steamboat Springs, CO 80487","Apr 01, 2021","$11,950,000","$11,150,000",Single Family Residential,2009,13296,6,8,Storm Mountain Ranch,Storm Mountain Ranch,"$25,673",Steamboat Springs RE-2,3,3,Walk-Out Access,"$48,808",Cash
8,7001 N I 76 Frontage Road,"Wiggins, CO 80654","Jan 08, 2020","$11,000,000","$10,750,000",Single Family Residential,2006,4676,4,4,,,,Wiggins RE-50J,3,3,,,
9,1133 14th Street Unit 4450,"Denver, CO 80202","Jan 31, 2019","$10,750,000","$10,750,000",Condo,2010,6295,3,5,Four Seasons,Four Seasons,"$30,715",Denver 1,2,2,None,"$5,669",Seller Financing
10,33855 Pine Drop Drive,"Steamboat Springs, CO 80487","Jul 22, 2019","$10,750,000","$10,250,000",Single Family Residential,2000,10936,6,7,,,"$25,323",Steamboat Springs RE-2,7,7,"Finished, Partial",,Cash
11,7 Cantitoe Lane,"Cherry Hills Village, CO 80113","Dec 30, 2020","$9,500,000","$9,450,000",Single Family Residential,2002,16513,5,8,Cherry Hills Village,Cherry Hills Village,"$59,688",Cherry Creek 5,7,7,"Finished, Walk-Out Access, Sump Pump",,Conventional
12,1500 Skyview Lane,"Steamboat Springs, CO 80487","Jul 26, 2018","$9,050,000","$9,050,000",Multifamily,2015,34035,,,Mountain,Mountain,"$23,318",Steamboat Springs RE-2,,,None,,Conventional
13,4886 Highway 66,"Mead, CO 80504","Nov 12, 2019","$9,376,000","$9,000,000",Single Family Residential,1925,3112,3,1,Westrain Ranch Annex,Westrain Ranch Annex,"$21,916",St. Vrain Valley RE-1J,4,4,Full,,"Cash, Conventional"
14,3901 S Gilpin Street,"Cherry Hills Village, CO 80113","Aug 19, 2020","$10,500,000","$9,000,000",Single Family Residential,1923,8794,6,7,Cherry Hills,Cherry Hills,"$52,927",Cherry Creek 5,3,3,"Finished, Partial",,Cash
15,2201 W Virginia Avenue,"Denver, CO 80223","Dec 29, 2020","$8,900,000","$8,900,000",Multifamily,1972,42904,,,,,"$32,410",,,,,,Other
16,201 W Englewood Parkway,"Englewood, CO 80110","Sep 04, 2019","$8,750,000","$8,500,000",Multifamily,2016,32140,,,Englewood,Englewood,"$23,099",Englewood 1,20,20,None,,Conventional
