,zip_code,sa1,sa2,closing_date,list_price,sold_price,prop_type,year_built,sq_ft,bedrooms,bathrooms,sub_div,sub_area,taxes,school_district,garage_spaces,parking_spaces,basement,hoa_fees,financial_terms
0,80016,7028 S Ensenada Street,"Centennial, CO 80016","Jul 12, 2019","$3,250,000","$3,233,000",Single Family Residential,2019,10570,6,10,Estancia,Estancia,"$4,587",Cherry Creek 5,4,4,"Exterior Entry, Full, Finished, Walk-Out Access",$875,Conventional
1,80016,6988 S Ensenada Court,"Aurora, CO 80016","Apr 22, 2021","$2,888,000","$2,888,000",Single Family Residential,2020,8473,6,8,Estancia,Estancia,"$3,697",Cherry Creek 5,4,4,"Crawl Space, Exterior Entry, Full, Finished, Walk-Out Access","$1,750",Conventional
2,80016,7555 S Flanders Street,"Centennial, CO 80016","Dec 18, 2020","$2,749,000","$2,650,000",Single Family Residential,2000,10028,6,9,Chenango,Chenango,"$15,181",Cherry Creek 5,4,4,"Crawl Space, Exterior Entry, Full, Finished, Interior Entry, Walk-Out Access, Sump Pump",$950,Conventional
3,80016,19333 E Briarwood Place,"Centennial, CO 80016","Apr 16, 2021","$2,550,000","$2,500,000",Single Family Residential,2008,8718,5,7,Estancia,Estancia,"$21,335",Cherry Creek 5,5,5,Full,"$1,750",Conventional
4,80016,6924 S Espana Way,"Centennial, CO 80016","Mar 11, 2021","$2,499,000","$2,400,000",Single Family Residential,2015,7595,6,8,Estancia,Estancia,"$22,783",Cherry Creek 5,4,4,"Full, Finished, Walk-Out Access, Sump Pump","$1,750",Other
5,80016,6977 S Ensenada Court,"Aurora, CO 80016","Mar 08, 2021","$2,000,000","$1,940,000",Single Family Residential,2008,9996,7,8,Estancia,Estancia,"$16,009",Cherry Creek 5,4,4,"Full, Finished, Walk-Out Access",$875,Cash
6,80016,7203 S Perth Way,"Aurora, CO 80016","Mar 27, 2021","$1,750,000","$1,830,000",Single Family Residential,2006,9110,8,7,Saddle Rock Golf Club South,Saddle Rock Golf Club South,"$9,358",Cherry Creek 5,4,4,"Full, Finished, Walk-Out Access",$20,Conventional
7,80016,7775 S Flanders Street,"Centennial, CO 80016","Mar 12, 2021","$1,795,000","$1,765,000",Single Family Residential,1990,8918,7,8,Chenango,Chenango,"$7,099",Cherry Creek 5,6,6,"Exterior Entry, Walk-Out Access, Sump Pump",$950,Conventional
8,80016,7891 S Argonne Street,"Centennial, CO 80016","Sep 30, 2020","$1,800,000","$1,650,000",Single Family Residential,1990,7660,4,5,Chenango,Chenango,"$8,645",Cherry Creek 5,3,3,"Exterior Entry, Full, Finished, Interior Entry, Walk-Out Access","$1,000",Seller Financing
9,80016,6777 S Dunkirk Court,"Centennial, CO 80016","Jan 28, 2020","$1,632,940","$1,632,940",Single Family Residential,2019,6274,5,7,Estancia,Estancia,"$4,012",Cherry Creek 5,,,,"$1,750",Conventional
10,80016,7871 S Argonne Street,"Centennial, CO 80016","Jul 19, 2019","$1,599,000","$1,550,000",Single Family Residential,1994,8006,5,7,Chenango,Chenango,"$8,279",Cherry Creek 5,3,3,"Full, Finished, Walk-Out Access",$950,Cash
11,80016,6833 S Ensenada Street,"Centennial, CO 80016","Apr 26, 2019","$1,575,000","$1,530,000",Single Family Residential,2016,6816,6,8,Estancia,Estancia,"$19,183",Cherry Creek 5,4,4,"Full, Finished, Interior Entry, Sump Pump",,Conventional
12,80016,17726 E Jamison Avenue,"Centennial, CO 80016","Jan 21, 2021","$1,800,000","$1,525,000",Single Family Residential,1985,7223,4,7,Chenango,Chenango,"$10,075",Cherry Creek 5,5,5,"Finished, Partial, Walk-Out Access",$950,Conventional
13,80016,6301 S Olathe Street,"Centennial, CO 80016","Nov 18, 2019","$1,550,000","$1,525,000",Single Family Residential,1994,6205,4,5,Cherry Creek East,Cherry Creek East,"$7,163",Cherry Creek 5,7,7,"Full, Finished",,Conventional
14,80016,15035 E Pinewood Place,"Centennial, CO 80016","Apr 29, 2021","$1,490,000","$1,490,000",Multifamily,2016,7328,,,The Ranches At Cherry Creek,The Ranches At Cherry Creek,"$9,136",Cherry Creek 5,3,3,"Partial, Unfinished",,Cash
15,80016,7604 S Quintero Court,"Centennial, CO 80016","Oct 26, 2020","$1,450,000","$1,460,000",Single Family Residential,1984,7832,4,6,Chenango,Chenango,"$7,262",Cherry Creek 5,6,6,"Full, Finished",$950,VA
16,80016,7855 S Flanders Street,"Centennial, CO 80016","Oct 30, 2020","$1,595,000","$1,445,000",Single Family Residential,1982,8739,5,7,Chenango,Chenango,"$8,359",Cherry Creek 5,7,7,"Finished, Interior Entry, Bath/Stubbed",$950,Conventional
17,80016,24440 E Glasgow Drive,"Aurora, CO 80016","Apr 29, 2021","$1,399,900","$1,400,000",Single Family Residential,2000,6211,5,7,Tallyns Reach,Tallyns Reach,"$11,259",Cherry Creek 5,3,3,"Exterior Entry, Full, Finished, Walk-Out Access",$149,Conventional
18,80016,7172 S Perth Street,"Aurora, CO 80016","Oct 29, 2020","$1,495,000","$1,400,000",Single Family Residential,2003,7372,7,8,Saddle Rock Golf Club South,Saddle Rock Golf Club South,"$9,327",Cherry Creek 5,4,4,"Exterior Entry, Full, Finished, Bath/Stubbed, Walk-Out Access",$265,Conventional
19,80016,16539 E Fair Avenue,"Centennial, CO 80016","Nov 27, 2019","$1,450,000","$1,395,000",Single Family Residential,1992,7528,5,5,Cherry Creek East,Cherry Creek East,"$6,498",Cherry Creek 5,7,7,"Full, Finished, Walk-Out Access",,Conventional
20,80016,24282 E Glasgow Circle,"Aurora, CO 80016","Nov 17, 2020","$1,399,000","$1,350,000",Single Family Residential,2007,7453,6,6,Tallyn's Reach,Tallyn's Reach,"$10,663",Cherry Creek 5,5,5,"Daylight, Exterior Entry, Interior Entry, Partial, Bath/Stubbed, Walk-Out Access",$185,Cash
21,80016,6345 S Himalaya Court,"Centennial, CO 80016","Nov 24, 2020","$1,399,900","$1,350,000",Single Family Residential,2019,7598,5,5,Himalaya Court,Himalaya Court,"$1,058",Cherry Creek 5,5,5,"Full, Finished, Walk-Out Access, Heated, Sump Pump",$105,Conventional
22,80016,6464 S Malaya Street,"Centennial, CO 80016","Nov 10, 2020","$1,310,000","$1,311,000",Single Family Residential,1997,6763,5,6,The Meadows At Saddle Rock,The Meadows At Saddle Rock,"$5,994",Cherry Creek 5,3,3,"Full, Finished, Sump Pump",,Conventional
23,80016,7867 S Cathay Street,"Centennial, CO 80016","Jul 10, 2019","$1,399,000","$1,283,000",Single Family Residential,2002,7004,5,6,Chenago,Chenago,"$6,964",Cherry Creek 5,4,4,"Exterior Entry, Full, Finished, Interior Entry, Walk-Out Access",$950,Conventional
24,80016,19072 E Geddes Avenue,"Centennial, CO 80016","Aug 14, 2018","$1,270,000","$1,260,000",Single Family Residential,1990,5798,5,5,Chapparal,Chapparal,"$6,265",Cherry Creek 5,3,3,"Full, Finished, Walk-Out Access, Heated",$215,Conventional
25,80016,6494 S Malaya Street,"Centennial, CO 80016","Aug 26, 2020","$1,300,000","$1,255,000",Single Family Residential,1995,5444,5,5,The Meadows At Saddle Rock,The Meadows At Saddle Rock,"$5,223",Cherry Creek 5,5,5,"Full, Finished, Interior Entry, Bath/Stubbed",,Cash
26,80016,7867 S Cathay Street,"Centennial, CO 80016","Feb 21, 2019","$1,350,000","$1,253,000",Single Family Residential,2002,7250,5,6,Chenango,Chenango,"$6,964",Cherry Creek 5,4,4,"Full, Finished, Interior Entry, Walk-Out Access, Heated, Sump Pump",$540,Conventional
27,80016,8272 S Langdale Way,"Aurora, CO 80016","Feb 26, 2021","$1,299,000","$1,250,000",Single Family Residential,2015,6185,5,6,Whispering Pines,Whispering Pines,"$9,897",Cherry Creek 5,3,3,"Daylight, Exterior Entry, Full, Finished, Walk-Out Access, Sump Pump",,Conventional
